Wall time,Step,Value
1713860040.042138,1856850,9.997028350830078
1713860040.042442,1856874,9.69001579284668
1713860040.042854,1856880,9.585273742675781
1713860040.043675,1856886,9.785030364990234
1713860040.044251,1856895,9.899349212646484
1713860040.04461,1856919,9.880158424377441
1713860040.044912,1856925,9.649151802062988
1713860040.045783,1856931,10.0
1713860040.046187,1856937,8.423412322998047
1713860040.046492,1856952,9.819012641906738
1713860040.046888,1856967,9.858638763427734
1713860040.0472,1856997,9.660186767578125
1713860040.047499,1857003,9.822997093200684
1713860040.047836,1857024,5.815340042114258
1713860040.048154,1857033,9.831907272338867
1713860040.048443,1857039,9.773707389831543
1713860040.048731,1857069,9.784411430358887
1713860040.049141,1857069,9.713447570800781
1713860040.049968,1857075,10.0
1713860040.050744,1857111,9.307698249816895
1713860040.05123,1857114,9.777915954589844
1713860040.051665,1857120,10.0
1713860040.054633,1857120,7.878775596618652
1713860040.05521,1857162,9.690567016601562
1713860040.057581,1857168,9.697041511535645
1713860040.058854,1857183,-3.2898030281066895
1713860040.061275,1857183,5.365744590759277
1713860040.062689,1857201,9.097273826599121
1713860040.063955,1857201,9.920624732971191
1713860040.065105,1857225,9.418706893920898
1713860040.067058,1857228,9.87980842590332
1713860040.068337,1857234,9.84409236907959
1713860040.069305,1857249,9.87356185913086
1713860040.070044,1857264,9.945178031921387
1713860040.070716,1857270,10.0
1713860040.071059,1857288,9.941679954528809
1713860040.071706,1857291,-9.105488777160645
1713860040.072326,1857294,10.0
1713860040.073012,1857300,9.778900146484375
1713860040.07362,1857303,8.712133407592773
1713860040.074364,1857306,10.0
1713860040.074887,1857312,9.934760093688965
1713860040.076056,1857363,9.631441116333008
1713860040.07712,1857366,9.669576644897461
1713860040.07801,1857366,9.6135892868042
1713860040.07878,1857408,9.79677677154541
1713860040.115402,1857414,9.689826011657715
1713860040.115807,1857420,9.994812965393066
1713860040.116146,1857423,9.948437690734863
1713860040.116447,1857426,9.598002433776855
1713860040.116759,1857429,10.0
1713860040.117085,1857435,9.953927993774414
1713860040.117417,1857453,-2.1177241802215576
1713860040.117714,1857474,9.73374080657959
1713860040.118041,1857486,9.80250358581543
1713860040.118381,1857492,10.0
1713860040.11867,1857519,9.2886962890625
1713860040.118957,1857528,8.877589225769043
1713860040.119596,1857549,9.908878326416016
1713860040.120225,1857552,9.429141998291016
1713860040.120587,1857597,8.858555793762207
1713860040.120886,1857615,9.241230010986328
1713860040.121172,1857624,-4.402480602264404
1713860040.121502,1857642,9.720520973205566
1713860040.121833,1857669,9.681197166442871
1713860040.122118,1857675,10.0
1713860040.122421,1857678,9.670599937438965
1713860040.12273,1857705,9.855470657348633
1713860040.123035,1857726,8.924431800842285
1713860040.123329,1857738,9.825491905212402
1713860040.123627,1857759,7.925046920776367
1713860040.12394,1857765,10.0
1713860040.12422,1857771,9.720908164978027
1713860040.124517,1857798,9.215696334838867
1713860040.124814,1857807,9.525507926940918
1713860040.125125,1857810,9.764751434326172
1713860040.125406,1857831,9.893563270568848
1713860040.125702,1857837,10.0
1713860040.126003,1857891,9.36181354522705
1713860040.126294,1857921,-4.533515930175781
1713860040.126573,1857930,-6.167238235473633
1713860040.126898,1857948,9.917515754699707
1713860040.127233,1857975,9.878070831298828
1713860040.127518,1858002,9.231124877929688
1713860040.127805,1858041,4.5985870361328125
1713860040.128104,1858080,9.399861335754395
1713860040.128407,1858080,9.741273880004883
1713860040.128689,1858116,9.811630249023438
1713860040.128987,1858119,-4.255300998687744
1713860040.129287,1858128,3.0559308528900146
1713860040.129589,1858155,9.766863822937012
1713860040.129869,1858161,9.731345176696777
1713860040.130246,1858185,9.85583782196045
1713860040.130552,1858188,8.75754451751709
1713860040.130844,1858203,9.93681812286377
1713860040.131133,1858215,9.886377334594727
1713860040.131487,1858239,9.773513793945312
1713860040.131785,1858272,9.055624008178711
1713860040.132063,1858284,9.442599296569824
1713860040.132365,1858296,9.44668960571289
1713860040.132675,1858302,9.92918586730957
1713860040.132964,1858326,9.904343605041504
1713860040.133241,1858332,9.786689758300781
1713860040.133535,1858338,10.0
1713860040.133852,1858344,10.0
1713860040.134131,1858353,9.874911308288574
1713860040.134419,1858383,9.770888328552246
1713860040.134732,1858410,-3.031872034072876
1713860040.135045,1858443,9.798173904418945
1713860040.135337,1858446,8.983752250671387
1713860040.135645,1858500,9.67680835723877
1713860040.135935,1858500,9.555376052856445
1713860040.136235,1858530,-3.291980266571045
1713860040.13651,1858530,9.821391105651855
1713860040.136816,1858536,10.0
1713860040.137145,1858569,-3.0652613639831543
1713860040.137426,1858581,-2.938368320465088
1713860040.137714,1858587,6.4501261711120605
1713860040.138013,1858629,6.74235200881958
1713860040.138343,1858632,9.736687660217285
1713860040.13862,1858656,8.954154968261719
1713860040.13893,1858683,9.489895820617676
1713860040.139233,1858701,9.57369327545166
1713860040.139553,1858707,9.893488883972168
1713860040.140034,1858731,6.732195854187012
